No_layers,Act_Fcns,Neurons,Dropout,MSE
1,sigmoid,32,0,413622.75
1,sigmoid,32,0.2,415727.4
1,sigmoid,32,0.5,419900.3
1,sigmoid,32,0.7,423633.25
1,sigmoid,64,0,395261.34
1,sigmoid,64,0.2,398264.3
1,sigmoid,64,0.5,404502.8
1,sigmoid,64,0.7,410784.7
1,sigmoid,128,0,380005.5
1,sigmoid,128,0.2,382360.22
1,sigmoid,128,0.5,388067.53
1,sigmoid,128,0.7,395036.75
2,sigmoid,32,0,405467.97
2,sigmoid,32,0.2,408013.25
2,sigmoid,32,0.5,409059.72
2,sigmoid,32,0.7,410857.44
2,sigmoid,64,0,388163.72
2,sigmoid,64,0.2,390203.6
2,sigmoid,64,0.5,391584.0
2,sigmoid,64,0.7,393361.97
2,sigmoid,128,0,411130.34
2,sigmoid,128,0.2,401229.2
2,sigmoid,128,0.5,393012.75
2,sigmoid,128,0.7,389458.16
3,sigmoid,32,0,424047.7
3,sigmoid,32,0.2,423990.66
3,sigmoid,32,0.5,425941.16
3,sigmoid,32,0.7,417093.78
3,sigmoid,64,0,409282.8
3,sigmoid,64,0.2,435701.97
3,sigmoid,64,0.5,434421.53
3,sigmoid,64,0.7,427800.6
3,sigmoid,128,0,476031.25
3,sigmoid,128,0.2,488456.2
3,sigmoid,128,0.5,455146.12
3,sigmoid,128,0.7,433436.75
4,sigmoid,32,0,432945.34
4,sigmoid,32,0.2,438797.75
4,sigmoid,32,0.5,438789.75
4,sigmoid,32,0.7,427008.6
4,sigmoid,64,0,439885.78
4,sigmoid,64,0.2,433214.62
4,sigmoid,64,0.5,443256.0
4,sigmoid,64,0.7,437896.9
4,sigmoid,128,0,530541.3
4,sigmoid,128,0.2,541398.7
4,sigmoid,128,0.5,486513.44
4,sigmoid,128,0.7,459829.6
